,period,gross_oil_prod,gross_gas_prod,gross_ngl_prod,gross_water_prod,wi_oil_prod,wi_gas_prod,wi_ngl_prod,wi_water_prod,net_oil_prod,net_gas_prod,net_ngl_prod,realized_oil_price,realized_gas_price,realized_ngl_price,oil_revenue,gas_revenue,ngl_revenue,total_revenue,fixed_loe,variable_loe_oil,variable_loe_gas,variable_loe_water,total_variable_loe,gcp,prod_tax,ad_val_tax,total_expenses,drilling_capex,completion_capex,d_and_c,undisc_cf,PV-20.0%,Cum PV-20.0%
129,130.000,0.080,0.401,0.027,0.350,0.080,0.296,0.027,0.350,0.067,0.249,0.023,78.200,2.029,40.000,5.272,0.505,0.902,6.679,4.000,0.064,0.000,0.511,0.575,0.229,0.481,0.000,5.285,0.000,0.000,0.000,1.394,0.163,-588.311
130,131.000,0.080,0.397,0.027,0.347,0.080,0.294,0.027,0.347,0.067,0.247,0.022,78.200,2.029,40.000,5.226,0.501,0.895,6.622,4.000,0.064,0.000,0.507,0.571,0.227,0.477,0.000,5.275,0.000,0.000,0.000,1.347,0.155,-588.157
131,132.000,0.079,0.394,0.026,0.345,0.079,0.292,0.026,0.345,0.066,0.245,0.022,78.200,2.029,40.000,5.182,0.497,0.887,6.566,4.000,0.063,0.000,0.503,0.566,0.225,0.473,0.000,5.264,0.000,0.000,0.000,1.302,0.147,-588.010
132,133.000,0.078,0.391,0.026,0.342,0.078,0.289,0.026,0.342,0.066,0.243,0.022,78.200,2.029,40.000,5.138,0.493,0.880,6.512,4.000,0.063,0.000,0.499,0.562,0.224,0.469,0.000,5.254,0.000,0.000,0.000,1.257,0.140,-587.870
133,134.000,0.078,0.388,0.026,0.339,0.078,0.287,0.026,0.339,0.065,0.241,0.022,78.200,2.029,40.000,5.095,0.489,0.873,6.458,4.000,0.062,0.000,0.496,0.558,0.222,0.465,0.000,5.244,0.000,0.000,0.000,1.213,0.132,-587.738
134,135.000,0.077,0.385,0.026,0.337,0.077,0.285,0.026,0.337,0.065,0.239,0.022,78.200,2.029,40.000,5.052,0.486,0.867,6.404,4.000,0.062,0.000,0.492,0.553,0.220,0.461,0.000,5.235,0.000,0.000,0.000,1.170,0.126,-587.612
135,136.000,0.076,0.382,0.026,0.334,0.076,0.283,0.026,0.334,0.064,0.237,0.021,78.200,2.029,40.000,5.010,0.482,0.860,6.352,4.000,0.061,0.000,0.488,0.549,0.218,0.457,0.000,5.225,0.000,0.000,0.000,1.127,0.119,-587.493
136,137.000,0.076,0.379,0.025,0.332,0.076,0.280,0.025,0.332,0.064,0.236,0.021,78.200,2.029,40.000,4.969,0.478,0.853,6.300,4.000,0.061,0.000,0.485,0.545,0.217,0.454,0.000,5.215,0.000,0.000,0.000,1.085,0.113,-587.381
137,138.000,0.075,0.376,0.025,0.329,0.075,0.278,0.025,0.329,0.063,0.234,0.021,78.200,2.029,40.000,4.929,0.474,0.847,6.250,4.000,0.060,0.000,0.481,0.541,0.215,0.450,0.000,5.206,0.000,0.000,0.000,1.044,0.107,-587.274
138,139.000,0.074,0.373,0.025,0.327,0.074,0.276,0.025,0.327,0.063,0.232,0.021,78.200,2.029,40.000,4.889,0.471,0.840,6.200,4.000,0.060,0.000,0.478,0.537,0.213,0.446,0.000,5.197,0.000,0.000,0.000,1.003,0.101,-587.173
139,140.000,0.074,0.370,0.025,0.325,0.074,0.274,0.025,0.325,0.062,0.230,0.021,78.200,2.029,40.000,4.850,0.467,0.834,6.151,4.000,0.059,0.000,0.474,0.533,0.212,0.443,0.000,5.188,0.000,0.000,0.000,0.963,0.095,-587.078
140,141.000,0.073,0.368,0.025,0.322,0.073,0.272,0.025,0.322,0.062,0.229,0.021,78.200,2.029,40.000,4.811,0.464,0.828,6.102,4.000,0.059,0.000,0.471,0.529,0.210,0.439,0.000,5.179,0.000,0.000,0.000,0.923,0.090,-586.988
141,142.000,0.073,0.365,0.024,0.320,0.073,0.270,0.024,0.320,0.061,0.227,0.021,78.200,2.029,40.000,4.773,0.460,0.821,6.054,4.000,0.058,0.000,0.467,0.525,0.209,0.436,0.000,5.170,0.000,0.000,0.000,0.884,0.085,-586.904
142,143.000,0.072,0.362,0.024,0.318,0.072,0.268,0.024,0.318,0.061,0.225,0.020,78.200,2.029,40.000,4.735,0.457,0.815,6.007,4.000,0.058,0.000,0.464,0.522,0.207,0.433,0.000,5.161,0.000,0.000,0.000,0.846,0.080,-586.824
143,144.000,0.072,0.360,0.024,0.316,0.072,0.266,0.024,0.316,0.060,0.223,0.020,78.200,2.029,40.000,4.698,0.453,0.809,5.961,4.000,0.057,0.000,0.461,0.518,0.206,0.429,0.000,5.153,0.000,0.000,0.000,0.808,0.075,-586.749
144,145.000,0.071,0.357,0.024,0.313,0.071,0.264,0.024,0.313,0.060,0.222,0.020,78.200,2.029,40.000,4.662,0.450,0.803,5.915,4.000,0.057,0.000,0.458,0.514,0.204,0.426,0.000,5.144,0.000,0.000,0.000,0.771,0.070,-586.679
145,146.000,0.070,0.354,0.024,0.311,0.070,0.262,0.024,0.311,0.059,0.220,0.020,78.200,2.029,40.000,4.626,0.447,0.798,5.870,4.000,0.056,0.000,0.454,0.511,0.203,0.423,0.000,5.136,0.000,0.000,0.000,0.734,0.066,-586.613
146,147.000,0.070,0.352,0.024,0.309,0.070,0.260,0.024,0.309,0.059,0.219,0.020,78.200,2.029,40.000,4.590,0.444,0.792,5.826,4.000,0.056,0.000,0.451,0.507,0.201,0.419,0.000,5.128,0.000,0.000,0.000,0.698,0.061,-586.552
147,148.000,0.069,0.349,0.023,0.307,0.069,0.258,0.023,0.307,0.058,0.217,0.020,78.200,2.029,40.000,4.556,0.440,0.786,5.782,4.000,0.055,0.000,0.448,0.504,0.200,0.416,0.000,5.120,0.000,0.000,0.000,0.663,0.057,-586.494
148,149.000,0.069,0.347,0.023,0.305,0.069,0.257,0.023,0.305,0.058,0.216,0.020,78.200,2.029,40.000,4.521,0.437,0.781,5.739,4.000,0.055,0.000,0.445,0.500,0.198,0.413,0.000,5.112,0.000,0.000,0.000,0.627,0.053,-586.441
149,150.000,0.068,0.344,0.023,0.303,0.068,0.255,0.023,0.303,0.057,0.214,0.019,78.200,2.029,40.000,4.487,0.434,0.775,5.697,4.000,0.055,0.000,0.442,0.497,0.197,0.410,0.000,5.104,0.000,0.000,0.000,0.593,0.050,-586.391
150,151.000,0.068,0.342,0.023,0.301,0.068,0.253,0.023,0.301,0.057,0.213,0.019,78.200,2.029,40.000,4.454,0.431,0.770,5.655,4.000,0.054,0.000,0.439,0.493,0.196,0.407,0.000,5.096,0.000,0.000,0.000,0.559,0.046,-586.345
151,152.000,0.067,0.340,0.023,0.299,0.067,0.251,0.023,0.299,0.057,0.211,0.019,78.200,2.029,40.000,4.421,0.428,0.764,5.613,4.000,0.054,0.000,0.436,0.490,0.194,0.404,0.000,5.088,0.000,0.000,0.000,0.525,0.043,-586.303
152,153.000,0.067,0.337,0.023,0.297,0.067,0.250,0.023,0.297,0.056,0.210,0.019,78.200,2.029,40.000,4.388,0.425,0.759,5.573,4.000,0.053,0.000,0.433,0.487,0.193,0.401,0.000,5.081,0.000,0.000,0.000,0.492,0.039,-586.263
153,154.000,0.066,0.335,0.022,0.295,0.066,0.248,0.022,0.295,0.056,0.208,0.019,78.200,2.029,40.000,4.356,0.422,0.754,5.533,4.000,0.053,0.000,0.431,0.484,0.191,0.398,0.000,5.073,0.000,0.000,0.000,0.459,0.036,-586.227
154,155.000,0.066,0.333,0.022,0.293,0.066,0.246,0.022,0.293,0.055,0.207,0.019,78.200,2.029,40.000,4.325,0.419,0.749,5.493,4.000,0.053,0.000,0.428,0.480,0.190,0.395,0.000,5.066,0.000,0.000,0.000,0.427,0.033,-586.194
155,156.000,0.065,0.330,0.022,0.291,0.065,0.244,0.022,0.291,0.055,0.205,0.019,78.200,2.029,40.000,4.294,0.417,0.744,5.454,4.000,0.052,0.000,0.425,0.477,0.189,0.393,0.000,5.059,0.000,0.000,0.000,0.395,0.030,-586.165
156,157.000,0.065,0.328,0.022,0.289,0.065,0.243,0.022,0.289,0.055,0.204,0.018,78.200,2.029,40.000,4.263,0.414,0.739,5.415,4.000,0.052,0.000,0.422,0.474,0.188,0.390,0.000,5.052,0.000,0.000,0.000,0.364,0.027,-586.137
157,158.000,0.064,0.326,0.022,0.287,0.064,0.241,0.022,0.287,0.054,0.203,0.018,78.200,2.029,40.000,4.233,0.411,0.734,5.377,4.000,0.052,0.000,0.419,0.471,0.186,0.387,0.000,5.045,0.000,0.000,0.000,0.333,0.024,-586.113
158,159.000,0.064,0.324,0.022,0.286,0.064,0.240,0.022,0.286,0.054,0.201,0.018,78.200,2.029,40.000,4.203,0.408,0.729,5.340,4.000,0.051,0.000,0.417,0.468,0.185,0.384,0.000,5.038,0.000,0.000,0.000,0.302,0.022,-586.091
159,160.000,0.064,0.322,0.022,0.284,0.064,0.238,0.022,0.284,0.053,0.200,0.018,78.200,2.029,40.000,4.173,0.406,0.724,5.303,4.000,0.051,0.000,0.414,0.465,0.184,0.382,0.000,5.031,0.000,0.000,0.000,0.272,0.019,-586.072
160,161.000,0.063,0.319,0.021,0.282,0.063,0.236,0.021,0.282,0.053,0.199,0.018,78.200,2.029,40.000,4.144,0.403,0.719,5.266,4.000,0.050,0.000,0.412,0.462,0.183,0.379,0.000,5.024,0.000,0.000,0.000,0.242,0.017,-586.055
161,162.000,0.063,0.317,0.021,0.280,0.063,0.235,0.021,0.280,0.053,0.197,0.018,78.200,2.029,40.000,4.115,0.400,0.714,5.230,4.000,0.050,0.000,0.409,0.459,0.182,0.377,0.000,5.017,0.000,0.000,0.000,0.213,0.015,-586.040
162,163.000,0.062,0.315,0.021,0.278,0.062,0.233,0.021,0.278,0.052,0.196,0.018,78.200,2.029,40.000,4.087,0.398,0.710,5.195,4.000,0.050,0.000,0.407,0.456,0.180,0.374,0.000,5.011,0.000,0.000,0.000,0.184,0.012,-586.028
163,164.000,0.062,0.313,0.021,0.277,0.062,0.232,0.021,0.277,0.052,0.195,0.018,78.200,2.029,40.000,4.059,0.395,0.705,5.159,4.000,0.049,0.000,0.404,0.453,0.179,0.371,0.000,5.004,0.000,0.000,0.000,0.155,0.010,-586.017
164,165.000,0.061,0.311,0.021,0.275,0.061,0.230,0.021,0.275,0.052,0.193,0.018,78.200,2.029,40.000,4.031,0.393,0.701,5.125,4.000,0.049,0.000,0.402,0.451,0.178,0.369,0.000,4.998,0.000,0.000,0.000,0.127,0.008,-586.009
165,166.000,0.061,0.309,0.021,0.273,0.061,0.229,0.021,0.273,0.051,0.192,0.017,78.200,2.029,40.000,4.004,0.390,0.696,5.091,4.000,0.049,0.000,0.399,0.448,0.177,0.367,0.000,4.991,0.000,0.000,0.000,0.099,0.006,-586.003
166,167.000,0.061,0.307,0.021,0.272,0.061,0.227,0.021,0.272,0.051,0.191,0.017,78.200,2.029,40.000,3.977,0.388,0.692,5.057,4.000,0.048,0.000,0.397,0.445,0.176,0.364,0.000,4.985,0.000,0.000,0.000,0.072,0.005,-585.998
167,168.000,0.060,0.305,0.020,0.270,0.060,0.226,0.020,0.270,0.051,0.190,0.017,78.200,2.029,40.000,3.951,0.385,0.688,5.023,4.000,0.048,0.000,0.394,0.442,0.175,0.362,0.000,4.979,0.000,0.000,0.000,0.045,0.003,-585.995
168,169.000,0.060,0.303,0.020,0.268,0.060,0.225,0.020,0.268,0.050,0.189,0.017,78.200,2.029,40.000,3.924,0.383,0.683,4.990,4.000,0.048,0.000,0.392,0.440,0.174,0.359,0.000,4.973,0.000,0.000,0.000,0.018,0.001,-585.994
total,,74.462,264.798,17.741,240.030,74.462,195.950,17.741,240.030,62.548,164.598,14.903,13215.800,342.918,6760.000,4891.240,333.986,596.112,5821.339,926.000,59.569,0.000,350.444,410.013,151.430,419.136,0.000,1906.580,1600.000,2200.000,3800.000,114.759,,
