,period,gross_oil_prod,gross_gas_prod,gross_ngl_prod,gross_water_prod,net_oil_prod,net_gas_prod,net_ngl_prod,realized_oil_price,realized_gas_price,realized_ngl_price,oil_revenue,gas_revenue,ngl_revenue,total_revenue,fixed_loe,variable_loe_oil,variable_loe_gas,variable_loe_water,total_variable_loe,gcp,prod_tax,ad_val_tax,total_expenses,d_and_c,undisc_cf,Cum PV-20.0%
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.2,2.0291,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,-1600.0,-1573.7704918032787
1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.2,2.0291,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2200.0,-2200.0,-3702.2305831765657
2,3.0,14.7,29.25,1.95975,36.0,12.347999999999999,18.1818,1.64619,78.2,2.0291,40.0,965.6135999999999,36.89269038,65.8476,1068.35389038,9.5,11.76,0.0,52.56,64.32000000000001,16.727256,76.92148010735998,0.0,167.46873610735997,0.0,900.88515427264,-2844.928900115471
3,4.0,7.426754477436038,19.695955512995358,1.3196290193706888,19.947481180982386,6.238473761046272,12.243005946877915,1.1084883762713784,78.2,2.0291,40.0,487.8486481138185,24.84228336680998,44.33953505085513,557.0304665314836,9.5,5.941403581948831,0.0,29.123322524234283,35.064726106183116,11.263565471127682,40.10619359026682,0.0,95.93448516757762,0.0,461.095981363906,-2413.3333098962694
4,5.0,4.880779237856585,14.785051120790664,0.9905984250929745,13.797826185210567,4.099854559799531,9.190387776683476,0.8321026770780985,78.2,2.0291,40.0,320.60862657632333,18.64821583766844,33.28410708312394,372.5409494971157,9.5,3.904623390285268,0.0,20.14482623040743,24.049449620692698,8.4551567545488,26.822948363792328,0.0,68.82755473903381,0.0,303.7133947580819,-2133.7115124952356
5,6.0,3.6014958124570127,11.804290055745271,0.7908874337349332,10.547218521316667,3.0252564824638903,7.33754669865126,0.6643454443373439,78.2,2.0291,40.0,236.57505692867625,14.888616006233272,26.573817773493754,278.03749070840325,9.5,2.8811966499656103,0.0,15.398939041122334,18.280135691087946,6.75054296275916,20.01869933100503,0.0,54.549377984852136,0.0,223.48811272355113,-1931.324369223173
6,7.0,2.837530506551685,9.80689346324897,0.657061862037681,8.536578016941363,2.3835256255034154,6.0959649767555595,0.551931964111652,78.2,2.0291,40.0,186.3917039143671,12.369322534334707,22.07727856446608,220.83830501316788,9.5,2.2700244052413483,0.0,12.463403904734388,14.733428309975736,5.608287778615115,15.900357960948087,0.0,45.742074049538935,0.0,175.09623096362895,-1775.3595287365972
7,8.0,2.332051533816604,8.377236412723631,0.5612748396524833,7.170005506674742,1.9589232884059473,5.2072901541490095,0.4714708653080859,78.2,2.0291,40.0,153.18780115334508,10.566112451783756,18.858834612323434,182.6127482174523,9.5,1.8656412270532834,0.0,10.468208039745123,12.333849266798406,4.790706941817089,13.148117871656565,0.0,39.77267408027206,0.0,142.84007413718024,-1650.2122559429938
8,9.0,1.9739950278536735,7.304530816339321,0.48940356469473456,6.180726929733995,1.6581558233970857,4.540496355436522,0.411098994343577,78.2,2.0291,40.0,129.6677853896521,9.213121154816248,16.44395977374308,155.3248663182114,9.5,1.5791960222829389,0.0,9.023861317411631,10.60305733969457,4.177256647001601,11.18339037491122,0.0,35.46370436160739,0.0,119.86116195660401,-1546.9191772678776
9,10.0,1.707697349231473,6.470615325495873,0.4335312268082235,5.431431152880439,1.4344657733544373,4.022134486328235,0.36416623051890773,78.2,2.0291,40.0,112.175223476317,8.161313086208622,14.56664922075631,134.90318578328194,9.5,1.3661578793851785,0.0,7.92988948320544,9.296047362590619,3.7003637274219763,9.7130293763963,0.0,32.20944046640889,0.0,102.69374531687305,-1459.8713076261342
10,11.0,1.5022594273412047,5.804174777405294,0.3888797100861547,4.844231438605727,1.261897918966612,3.6078750416351304,0.3266589564723699,78.2,2.0291,40.0,98.68041726318906,7.3207392469818435,13.066358258894796,119.0675147690657,9.5,1.201807541872964,0.0,7.072577900364361,8.274385442237325,3.31924503830432,8.572861063372729,0.0,29.666491543914375,0.0,89.40102322515132,-1385.3332521949944
11,12.0,1.3391877412148194,5.259648829425093,0.35239647157148124,4.371656638829235,1.1249177026204482,3.269397712370638,0.2960130361200442,78.2,2.0291,40.0,87.96856434491906,6.633934898171263,11.840521444801768,106.44302068789209,9.5,1.0713501929718556,0.0,6.3826186926906825,7.453968885662539,3.0078458953809872,7.66389748952823,0.0,27.62571227057176,0.0,78.81730841732033,-1320.6966402064413
12,13.0,1.2067534700720863,4.806584881687387,0.3220411870730549,3.9831243574473203,1.0136729148605526,2.9877731624568797,0.2705145971413661,78.2,2.0291,40.0,79.26922194209521,6.062490523941255,10.820583885654644,96.1522963516911,9.5,0.9654027760576691,0.0,5.815361561873088,6.780764337930757,2.7487513094603293,6.9229653373217594,0.0,25.952480984712842,0.0,70.19981536697827,-1264.070837724882
13,14.0,1.0971676824278012,4.423864754973277,0.29639893858320954,3.6580435784806826,0.9216208532393529,2.7498743316913887,0.248975108409896,78.2,2.0291,40.0,72.0707507233174,5.579770006434997,9.95900433639584,87.60952506614824,9.5,0.877734145942241,0.0,5.340743624581797,6.2184777705240375,2.5298843851560777,6.307885804762672,0.0,24.55624796044279,0.0,63.05327710570545,-1214.043490017889
14,15.0,1.0050603094198942,4.096388370464515,0.27445802082112253,3.3820423678528297,0.8442506599127111,2.5463150110807424,0.2305447374897429,78.2,2.0291,40.0,66.02040160517402,5.166727788983935,9.221789499589716,80.40891889374767,9.5,0.8040482475359154,0.0,4.937781857065131,5.741830104601046,2.342609810194283,5.789442160349831,0.0,23.37388207514516,0.0,57.03503681860251,-1169.5329404171341
15,16.0,0.9266118748718992,3.8130760877781222,0.2554760978811342,3.144784712641367,0.7783539748923953,2.3702080961628806,0.2145999222201527,78.2,2.0291,40.0,60.867280836585316,4.809389247924101,8.583996888806109,74.26066697331552,9.5,0.7412894998975195,0.0,4.591385680456395,5.332675180353915,2.1805914484698503,5.3467680220787175,0.0,22.36003465090248,0.0,51.900632322413045,-1129.693310543436
16,17.0,0.8590334092973034,3.56561641033915,0.23889629949272304,2.9386467041206163,0.7215880638097348,2.2163871606668155,0.20067289157388735,78.2,2.0291,40.0,56.42818658992127,4.4972711877090354,8.026915662955494,68.95237344058579,9.5,0.6872267274378427,0.0,4.290424188016099,4.977650915453943,2.03907618781347,4.964570887722176,0.0,21.48129799098959,0.0,47.4710754495962,-1093.851236552296
17,18.0,0.800242085390927,3.3476538193182446,0.22429280589432238,2.757881720730885,0.6722033517283786,2.080901614088221,0.1884059569512308,78.2,2.0291,40.0,52.56630210515921,4.22235746514641,7.5362382780492325,64.32489784835485,9.5,0.6401936683127416,0.0,4.026507312267092,4.666700980579833,1.9144294849611634,4.631392645081549,0.0,20.71252311062255,0.0,43.6123747377323,-1061.462410149018
18,19.0,0.7486518416597815,3.1542463866669803,0.2113345079066877,2.5980760945925017,0.6288675469942164,1.9606795539521948,0.17752098664161767,78.2,2.0291,40.0,49.17744217494773,3.978414882924399,7.1008394656647065,60.25669652353683,9.5,0.5989214733278252,0.0,3.7931910981050523,4.392112571432877,1.8038251896360193,4.338482149694651,0.0,20.034419910763546,0.0,40.222276612773285,-1032.0809387934723
19,20.0,0.7030341621441945,2.981494182039566,0.19976011019665094,2.455783800790889,0.5905486962011233,1.8532967835557943,0.16779849256518678,78.2,2.0291,40.0,46.18090804292784,3.7605245035130626,6.711939702607471,56.653372249048374,9.5,0.5624273297153556,0.0,3.585444349154698,4.147871678870054,1.7050330408713308,4.079042801931482,0.0,19.431947521672868,0.0,37.221424727375506,-1005.3372506030896
